,index,Institute,Academic Program Name,Quota,Category,Gender,Opening Rank,Closing Rank,Round,Course Time,Degree Type,IIT,State
46406,46406,Indian Institute of Technology Bhubaneswar,civil engineering,AI,GEN,Gender-Neutral,8471,12396,6,4, bachelor of technology,1,Odisha
46407,46407,Indian Institute of Technology Bhubaneswar,civil engineering,AI,GEN,Female-only,16998,21029,6,4, bachelor of technology,1,Odisha
46408,46408,Indian Institute of Technology Bhubaneswar,civil engineering,AI,EWS,Gender-Neutral,1603,1760,6,4, bachelor of technology,1,Odisha
46409,46409,Indian Institute of Technology Bhubaneswar,civil engineering,AI,EWS,Female-only,3536,3536,6,4, bachelor of technology,1,Odisha
46410,46410,Indian Institute of Technology Bhubaneswar,civil engineering,AI,OBC-NCL,Gender-Neutral,3044,4260,6,4, bachelor of technology,1,Odisha
46411,46411,Indian Institute of Technology Bhubaneswar,civil engineering,AI,OBC-NCL,Female-only,6138,7788,6,4, bachelor of technology,1,Odisha
46412,46412,Indian Institute of Technology Bhubaneswar,civil engineering,AI,SC,Gender-Neutral,1829,2319,6,4, bachelor of technology,1,Odisha
46413,46413,Indian Institute of Technology Bhubaneswar,civil engineering,AI,SC,Female-only,3093,3110,6,4, bachelor of technology,1,Odisha
46414,46414,Indian Institute of Technology Bhubaneswar,civil engineering,AI,ST,Gender-Neutral,656,698,6,4, bachelor of technology,1,Odisha
46415,46415,Indian Institute of Technology Bhubaneswar,civil engineering,AI,ST,Female-only,909,909,6,4, bachelor of technology,1,Odisha
46416,46416,Indian Institute of Technology Bhubaneswar,civil engineering and m. tech. in structural engineering,AI,GEN,Gender-Neutral,10473,12483,6,5, bachelor and master of technology (dual degree),1,Odisha
46417,46417,Indian Institute of Technology Bhubaneswar,civil engineering and m. tech. in structural engineering,AI,GEN,Female-only,19197,19197,6,5, bachelor and master of technology (dual degree),1,Odisha
46418,46418,Indian Institute of Technology Bhubaneswar,civil engineering and m. tech. in structural engineering,AI,EWS,Gender-Neutral,1691,1691,6,5, bachelor and master of technology (dual degree),1,Odisha
46419,46419,Indian Institute of Technology Bhubaneswar,civil engineering and m. tech. in structural engineering,AI,OBC-NCL,Gender-Neutral,4402,4487,6,5, bachelor and master of technology (dual degree),1,Odisha
46420,46420,Indian Institute of Technology Bhubaneswar,civil engineering and m. tech. in structural engineering,AI,OBC-NCL,Female-only,6812,6812,6,5, bachelor and master of technology (dual degree),1,Odisha
46421,46421,Indian Institute of Technology Bhubaneswar,civil engineering and m. tech. in structural engineering,AI,SC,Gender-Neutral,2386,2386,6,5, bachelor and master of technology (dual degree),1,Odisha
46422,46422,Indian Institute of Technology Bhubaneswar,civil engineering and m. tech. in structural engineering,AI,SC,Female-only,687,687,6,5, bachelor and master of technology (dual degree),1,Odisha
46423,46423,Indian Institute of Technology Bhubaneswar,civil engineering and m. tech. in structural engineering,AI,ST,Gender-Neutral,796,796,6,5, bachelor and master of technology (dual degree),1,Odisha
46424,46424,Indian Institute of Technology Bhubaneswar,civil engineering and m.tech in transportation engineering,AI,GEN,Gender-Neutral,12487,13161,6,5, bachelor and master of technology (dual degree),1,Odisha
46425,46425,Indian Institute of Technology Bhubaneswar,civil engineering and m.tech in transportation engineering,AI,GEN,Female-only,22192,22192,6,5, bachelor and master of technology (dual degree),1,Odisha
46426,46426,Indian Institute of Technology Bhubaneswar,civil engineering and m.tech in transportation engineering,AI,EWS,Gender-Neutral,2051,2051,6,5, bachelor and master of technology (dual degree),1,Odisha
46427,46427,Indian Institute of Technology Bhubaneswar,civil engineering and m.tech in transportation engineering,AI,OBC-NCL,Gender-Neutral,3685,4667,6,5, bachelor and master of technology (dual degree),1,Odisha
46428,46428,Indian Institute of Technology Bhubaneswar,civil engineering and m.tech in transportation engineering,AI,SC,Gender-Neutral,2405,2510,6,5, bachelor and master of technology (dual degree),1,Odisha
46429,46429,Indian Institute of Technology Bhubaneswar,civil engineering and m.tech in transportation engineering,AI,SC,Female-only,1075,1075,6,5, bachelor and master of technology (dual degree),1,Odisha
46430,46430,Indian Institute of Technology Bhubaneswar,civil engineering and m.tech in transportation engineering,AI,ST,Female-only,616,616,6,5, bachelor and master of technology (dual degree),1,Odisha
46431,46431,Indian Institute of Technology Bhubaneswar,civil engineering and m.tech. in environmental engineering,AI,GEN,Gender-Neutral,12813,13447,6,5, bachelor and master of technology (dual degree),1,Odisha
46432,46432,Indian Institute of Technology Bhubaneswar,civil engineering and m.tech. in environmental engineering,AI,GEN,Female-only,20896,20896,6,5, bachelor and master of technology (dual degree),1,Odisha
46433,46433,Indian Institute of Technology Bhubaneswar,civil engineering and m.tech. in environmental engineering,AI,EWS,Gender-Neutral,1984,1984,6,5, bachelor and master of technology (dual degree),1,Odisha
46434,46434,Indian Institute of Technology Bhubaneswar,civil engineering and m.tech. in environmental engineering,AI,OBC-NCL,Gender-Neutral,4783,4830,6,5, bachelor and master of technology (dual degree),1,Odisha
46435,46435,Indian Institute of Technology Bhubaneswar,civil engineering and m.tech. in environmental engineering,AI,SC,Gender-Neutral,2275,2275,6,5, bachelor and master of technology (dual degree),1,Odisha
46436,46436,Indian Institute of Technology Bhubaneswar,civil engineering and m.tech. in environmental engineering,AI,SC,Female-only,1247,1367,6,5, bachelor and master of technology (dual degree),1,Odisha
46437,46437,Indian Institute of Technology Bhubaneswar,civil engineering and m.tech. in environmental engineering,AI,ST,Gender-Neutral,918,918,6,5, bachelor and master of technology (dual degree),1,Odisha
46438,46438,Indian Institute of Technology Bhubaneswar,computer science and engineering,AI,GEN,Gender-Neutral,1621,2304,6,4, bachelor of technology,1,Odisha
46439,46439,Indian Institute of Technology Bhubaneswar,computer science and engineering,AI,GEN,Female-only,3221,5008,6,4, bachelor of technology,1,Odisha
46440,46440,Indian Institute of Technology Bhubaneswar,computer science and engineering,AI,OPEN-PwD,Gender-Neutral,97,97,6,4, bachelor of technology,1,Odisha
