CATEGORY,RANK,PERCENTILE
GEN,13,100
GEN,14,100
GEN,15,100
GEN,16,100
GEN,17,100
GEN,18,100
GEN,19,100
GEN,20,100
GEN,21,100
GEN,22,100
GEN,23,100
GEN,24,100
GEN,25,100
GEN,55,99.997
GEN,56,99.997
GEN,57,99.997
GEN,58,99.997
GEN,59,99.997
GEN,60,99.997
GEN,61,99.997
GEN,62,99.997
GEN,63,99.997
GEN,64,99.997
GEN,65,99.997
GEN,66,99.997
GEN,67,99.997
GEN,68,99.997
GEN,69,99.997
GEN,70,99.997
GEN,71,99.997
GEN,72,99.997
GEN,73,99.997
GEN,74,99.997
GEN,75,99.997
GEN,76,99.997
GEN,77,99.997
GEN,78,99.997
GEN,79,99.997
GEN,80,99.997
GEN,81,99.997
GEN,82,99.997
GEN,83,99.997
GEN,84,99.997
GEN,85,99.997
GEN,86,99.997
GEN,87,99.997
GEN,88,99.997
GEN,89,99.997
GEN,90,99.997
GEN,91,99.997
GEN,92,99.997
GEN,93,99.997
GEN,94,99.997
GEN,95,99.997
GEN,96,99.997
GEN,75,99.996
GEN,76,99.996
GEN,77,99.996
GEN,78,99.996
GEN,79,99.996
GEN,80,99.996
GEN,81,99.996
GEN,82,99.996
GEN,83,99.996
GEN,84,99.996
GEN,85,99.996
GEN,86,99.996
GEN,87,99.996
GEN,88,99.996
GEN,89,99.996
GEN,90,99.996
GEN,91,99.996
GEN,92,99.996
GEN,93,99.996
GEN,94,99.996
GEN,87,99.995
GEN,88,99.995
GEN,89,99.995
GEN,90,99.995
GEN,91,99.995
GEN,92,99.995
GEN,93,99.995
GEN,94,99.995
GEN,95,99.995
GEN,96,99.995
GEN,97,99.995
GEN,98,99.995
GEN,103,99.994
GEN,104,99.994
GEN,105,99.994
GEN,106,99.994
GEN,107,99.994
GEN,108,99.994
GEN,109,99.994
GEN,110,99.994
GEN,111,99.994
GEN,112,99.994
GEN,113,99.994
GEN,114,99.994
GEN,115,99.994
GEN,116,99.994
GEN,117,99.994
GEN,118,99.994
GEN,116,99.993
GEN,117,99.993
GEN,118,99.993
GEN,119,99.993
GEN,120,99.993
GEN,121,99.993
GEN,122,99.993
GEN,123,99.993
GEN,124,99.993
GEN,125,99.993
GEN,126,99.993
GEN,127,99.993
GEN,128,99.993
GEN,140,99.992
GEN,141,99.992
GEN,142,99.992
GEN,143,99.992
GEN,144,99.992
GEN,145,99.992
GEN,146,99.992
GEN,147,99.992
GEN,148,99.992
GEN,149,99.992
GEN,150,99.992
GEN,151,99.992
GEN,152,99.992
GEN,153,99.992
GEN,154,99.992
GEN,155,99.992
GEN,156,99.992
GEN,157,99.992
GEN,158,99.992
GEN,159,99.992
GEN,160,99.992
GEN,161,99.992
GEN,162,99.992
GEN,163,99.992
GEN,156,99.991
GEN,157,99.991
GEN,158,99.991
GEN,159,99.991
GEN,160,99.991
GEN,161,99.991
GEN,162,99.991
GEN,163,99.991
GEN,164,99.991
GEN,165,99.991
GEN,166,99.991
GEN,167,99.991
GEN,168,99.991
GEN,169,99.991
GEN,170,99.991
GEN,171,99.991
GEN,222,99.98
GEN,223,99.98
GEN,224,99.98
GEN,225,99.98
GEN,226,99.98
GEN,227,99.98
GEN,228,99.98
GEN,229,99.98
GEN,230,99.98
GEN,231,99.98
GEN,232,99.98
GEN,233,99.98
GEN,234,99.98
GEN,235,99.98
GEN,236,99.98
GEN,237,99.98
GEN,238,99.98
GEN,239,99.98
GEN,240,99.98
GEN,241,99.98
GEN,242,99.98
GEN,243,99.98
GEN,244,99.98
GEN,245,99.98
GEN,246,99.98
GEN,247,99.98
GEN,248,99.98
GEN,249,99.98
GEN,250,99.98
GEN,251,99.98
GEN,252,99.98
GEN,253,99.98
GEN,254,99.98
GEN,255,99.98
GEN,256,99.98
GEN,257,99.98
GEN,258,99.98
GEN,259,99.98
GEN,260,99.98
GEN,261,99.98
GEN,262,99.98
GEN,263,99.98
GEN,264,99.98
GEN,265,99.98
GEN,266,99.98
GEN,267,99.98
GEN,268,99.98
GEN,269,99.98
GEN,270,99.98
GEN,271,99.98
GEN,272,99.98
GEN,273,99.98
GEN,274,99.98
GEN,275,99.98
GEN,276,99.98
GEN,277,99.98
GEN,278,99.98
GEN,279,99.98
GEN,280,99.98
GEN,281,99.98
GEN,282,99.98
GEN,283,99.98
GEN,284,99.98
GEN,285,99.98
GEN,286,99.98
GEN,287,99.98
GEN,362,99.97
GEN,363,99.97
GEN,364,99.97
GEN,365,99.97
GEN,366,99.97
GEN,367,99.97
GEN,368,99.97
GEN,369,99.97
GEN,370,99.97
GEN,371,99.97
GEN,372,99.97
GEN,373,99.97
GEN,374,99.97
GEN,375,99.97
GEN,376,99.97
GEN,377,99.97
GEN,378,99.97
GEN,379,99.97
GEN,380,99.97
GEN,381,99.97
GEN,382,99.97
GEN,383,99.97
GEN,384,99.97
GEN,385,99.97
GEN,386,99.97
GEN,387,99.97
GEN,388,99.97
GEN,389,99.97
GEN,390,99.97
GEN,391,99.97
GEN,392,99.97
GEN,393,99.97
GEN,394,99.97
GEN,395,99.97
GEN,396,99.97
GEN,397,99.97
GEN,398,99.97
GEN,399,99.97
GEN,400,99.97
GEN,401,99.97
GEN,402,99.97
GEN,403,99.97
GEN,404,99.97
GEN,405,99.97
GEN,406,99.97
GEN,407,99.97
GEN,408,99.97
GEN,409,99.97
GEN,410,99.97
GEN,411,99.97
GEN,412,99.97
GEN,413,99.97
GEN,414,99.97
GEN,415,99.97
GEN,416,99.97
GEN,417,99.97
GEN,418,99.97
GEN,419,99.97
GEN,420,99.97
GEN,421,99.97
GEN,422,99.97
GEN,423,99.97
GEN,424,99.97
GEN,425,99.97
GEN,426,99.97
GEN,427,99.97
GEN,428,99.97
GEN,429,99.97
GEN,430,99.97
GEN,431,99.97
GEN,432,99.97
GEN,433,99.97
GEN,434,99.97
GEN,435,99.97
GEN,436,99.97
GEN,437,99.97
GEN,438,99.97
GEN,439,99.97
GEN,440,99.97
GEN,441,99.97
GEN,442,99.97
GEN,443,99.97
GEN,444,99.97
GEN,445,99.97
GEN,446,99.97
GEN,447,99.97
GEN,448,99.97
GEN,449,99.97
GEN,450,99.97
GEN,451,99.97
GEN,452,99.97
GEN,453,99.97
GEN,454,99.97
GEN,455,99.97
GEN,456,99.97
GEN,457,99.97
GEN,458,99.97
GEN,459,99.97
GEN,460,99.97
GEN,461,99.97
GEN,462,99.97
GEN,463,99.97
GEN,464,99.97
GEN,465,99.97
GEN,466,99.97
GEN,467,99.97
GEN,468,99.97
GEN,469,99.97
GEN,470,99.97
GEN,471,99.97
GEN,472,99.97
GEN,473,99.97
GEN,474,99.97
GEN,475,99.97
GEN,476,99.97
GEN,477,99.97
GEN,478,99.97
GEN,479,99.97
GEN,480,99.97
GEN,481,99.97
GEN,482,99.97
GEN,483,99.97
GEN,484,99.97
GEN,485,99.97
GEN,486,99.97
GEN,487,99.97
GEN,488,99.97
GEN,489,99.97
GEN,490,99.97
GEN,491,99.97
GEN,492,99.97
GEN,493,99.97
GEN,494,99.97
GEN,495,99.97
GEN,496,99.97
GEN,497,99.97
GEN,498,99.97
GEN,499,99.97
GEN,500,99.97
GEN,501,99.97
GEN,495,99.96
GEN,496,99.96
GEN,497,99.96
GEN,498,99.96
GEN,499,99.96
GEN,500,99.96
GEN,501,99.96
GEN,502,99.96
GEN,503,99.96
GEN,504,99.96
GEN,505,99.96
GEN,506,99.96
GEN,507,99.96
GEN,508,99.96
GEN,509,99.96
GEN,510,99.96
GEN,511,99.96
GEN,512,99.96
GEN,513,99.96
GEN,514,99.96
GEN,515,99.96
GEN,516,99.96
GEN,517,99.96
GEN,518,99.96
GEN,519,99.96
GEN,520,99.96
GEN,521,99.96
GEN,522,99.96
GEN,523,99.96
GEN,524,99.96
GEN,525,99.96
GEN,526,99.96
GEN,527,99.96
GEN,528,99.96
GEN,529,99.96
GEN,530,99.96
GEN,531,99.96
GEN,532,99.96
GEN,533,99.96
GEN,534,99.96
GEN,535,99.96
GEN,536,99.96
GEN,537,99.96
GEN,538,99.96
GEN,539,99.96
GEN,540,99.96
GEN,541,99.96
GEN,542,99.96
GEN,543,99.96
GEN,544,99.96
GEN,545,99.96
GEN,546,99.96
GEN,547,99.96
GEN,548,99.96
GEN,549,99.96
GEN,550,99.96
GEN,551,99.96
GEN,552,99.96
GEN,553,99.96
GEN,554,99.96
GEN,555,99.96
GEN,556,99.96
GEN,557,99.96
GEN,558,99.96
GEN,559,99.96
GEN,560,99.96
GEN,561,99.96
GEN,562,99.96
GEN,563,99.96
GEN,564,99.96
GEN,565,99.96
GEN,566,99.96
GEN,567,99.96
GEN,568,99.96
GEN,569,99.96
GEN,570,99.96
GEN,571,99.96
GEN,572,99.96
GEN,573,99.96
GEN,574,99.96
GEN,575,99.96
GEN,576,99.96
GEN,577,99.96
GEN,578,99.96
GEN,579,99.96
GEN,580,99.96
GEN,581,99.96
GEN,582,99.96
GEN,583,99.96
GEN,584,99.96
GEN,585,99.96
GEN,586,99.96
GEN,587,99.96
GEN,588,99.96
GEN,589,99.96
GEN,590,99.96
GEN,591,99.96
GEN,592,99.96
GEN,593,99.96
GEN,594,99.96
GEN,595,99.96
GEN,596,99.96
GEN,597,99.96
GEN,598,99.96
GEN,599,99.96
GEN,600,99.96
GEN,601,99.96
GEN,602,99.96
GEN,603,99.96
GEN,604,99.96
GEN,605,99.96
GEN,606,99.96
GEN,607,99.96
GEN,608,99.96
GEN,609,99.96
GEN,610,99.96
GEN,611,99.96
GEN,612,99.96
GEN,613,99.96
GEN,614,99.96
GEN,615,99.96
GEN,616,99.96
GEN,617,99.96
GEN,618,99.96
GEN,619,99.96
GEN,620,99.96
GEN,621,99.96
GEN,622,99.96
GEN,623,99.96
GEN,624,99.96
GEN,625,99.96
GEN,626,99.96
GEN,627,99.96
GEN,608,99.95
GEN,609,99.95
GEN,610,99.95
GEN,611,99.95
GEN,612,99.95
GEN,613,99.95
GEN,614,99.95
GEN,615,99.95
GEN,616,99.95
GEN,617,99.95
GEN,618,99.95
GEN,619,99.95
GEN,620,99.95
GEN,621,99.95
GEN,622,99.95
GEN,623,99.95
GEN,624,99.95
GEN,625,99.95
GEN,626,99.95
GEN,627,99.95
GEN,628,99.95
GEN,629,99.95
GEN,630,99.95
GEN,631,99.95
GEN,632,99.95
GEN,633,99.95
GEN,634,99.95
GEN,635,99.95
GEN,636,99.95
GEN,637,99.95
GEN,638,99.95
GEN,639,99.95
GEN,640,99.95
GEN,641,99.95
GEN,642,99.95
GEN,643,99.95
GEN,644,99.95
GEN,645,99.95
GEN,646,99.95
GEN,647,99.95
GEN,648,99.95
GEN,649,99.95
GEN,650,99.95
GEN,651,99.95
GEN,652,99.95
GEN,653,99.95
GEN,654,99.95
GEN,655,99.95
GEN,656,99.95
GEN,657,99.95
GEN,658,99.95
GEN,659,99.95
GEN,660,99.95
GEN,661,99.95
GEN,662,99.95
GEN,663,99.95
GEN,664,99.95
GEN,665,99.95
GEN,666,99.95
GEN,667,99.95
GEN,668,99.95
GEN,669,99.95
GEN,670,99.95
GEN,671,99.95
GEN,672,99.95
GEN,673,99.95
GEN,674,99.95
GEN,675,99.95
GEN,676,99.95
GEN,677,99.95
GEN,678,99.95
GEN,679,99.95
GEN,680,99.95
GEN,681,99.95
GEN,682,99.95
GEN,683,99.95
GEN,684,99.95
GEN,685,99.95
GEN,686,99.95
GEN,687,99.95
GEN,688,99.95
GEN,689,99.95
GEN,690,99.95
GEN,691,99.95
GEN,692,99.95
GEN,693,99.95
GEN,694,99.95
GEN,695,99.95
GEN,696,99.95
GEN,697,99.95
GEN,698,99.95
GEN,699,99.95
GEN,700,99.95
GEN,701,99.95
GEN,702,99.95
GEN,703,99.95
GEN,704,99.95
GEN,705,99.95
GEN,706,99.95
GEN,707,99.95
GEN,708,99.95
GEN,709,99.95
GEN,710,99.95
GEN,711,99.95
GEN,712,99.95
GEN,713,99.95
GEN,714,99.95
GEN,715,99.95
GEN,716,99.95
GEN,717,99.95
GEN,718,99.95
GEN,719,99.95
GEN,720,99.95
GEN,745,99.94
GEN,746,99.94
GEN,747,99.94
GEN,748,99.94
GEN,749,99.94
GEN,750,99.94
GEN,751,99.94
GEN,752,99.94
GEN,753,99.94
GEN,754,99.94
GEN,755,99.94
GEN,756,99.94
GEN,757,99.94
GEN,758,99.94
GEN,759,99.94
GEN,760,99.94
GEN,761,99.94
GEN,762,99.94
GEN,763,99.94
GEN,764,99.94
GEN,765,99.94
GEN,766,99.94
GEN,767,99.94
GEN,768,99.94
GEN,769,99.94
GEN,770,99.94
GEN,771,99.94
GEN,772,99.94
GEN,773,99.94
GEN,774,99.94
GEN,775,99.94
GEN,776,99.94
GEN,777,99.94
GEN,778,99.94
GEN,779,99.94
GEN,780,99.94
GEN,781,99.94
GEN,782,99.94
GEN,783,99.94
GEN,784,99.94
GEN,785,99.94
GEN,786,99.94
GEN,787,99.94
GEN,788,99.94
GEN,789,99.94
GEN,790,99.94
GEN,791,99.94
GEN,792,99.94
GEN,793,99.94
GEN,794,99.94
GEN,795,99.94
GEN,796,99.94
GEN,797,99.94
GEN,798,99.94
GEN,799,99.94
GEN,800,99.94
GEN,801,99.94
GEN,802,99.94
GEN,803,99.94
GEN,804,99.94
GEN,805,99.94
GEN,806,99.94
GEN,807,99.94
GEN,808,99.94
GEN,809,99.94
GEN,810,99.94
GEN,811,99.94
GEN,812,99.94
GEN,813,99.94
GEN,814,99.94
GEN,815,99.94
GEN,816,99.94
GEN,817,99.94
GEN,818,99.94
GEN,819,99.94
GEN,820,99.94
GEN,821,99.94
GEN,822,99.94
GEN,823,99.94
GEN,824,99.94
GEN,825,99.94
GEN,826,99.94
GEN,827,99.94
GEN,828,99.94
GEN,829,99.94
GEN,830,99.94
GEN,831,99.94
GEN,832,99.94
GEN,833,99.94
GEN,834,99.94
GEN,835,99.94
GEN,836,99.94
GEN,837,99.94
GEN,838,99.94
GEN,839,99.94
GEN,840,99.94
GEN,841,99.94
GEN,842,99.94
GEN,843,99.94
GEN,844,99.94
GEN,845,99.94
GEN,846,99.94
GEN,847,99.94
GEN,848,99.94
GEN,849,99.94
GEN,850,99.94
GEN,851,99.94
GEN,852,99.94
GEN,853,99.94
GEN,854,99.94
GEN,855,99.94
GEN,856,99.94
GEN,857,99.94
GEN,858,99.94
GEN,859,99.94
GEN,860,99.94
GEN,861,99.94
GEN,862,99.94
GEN,863,99.94
GEN,864,99.94
GEN,865,99.94
GEN,866,99.94
GEN,867,99.94
GEN,868,99.94
GEN,869,99.94
GEN,870,99.94
GEN,871,99.94
GEN,872,99.94
GEN,873,99.94
GEN,874,99.94
GEN,875,99.94
GEN,876,99.94
GEN,877,99.94
GEN,878,99.94
GEN,879,99.94
GEN,880,99.94
GEN,881,99.94
GEN,869,99.93
GEN,870,99.93
GEN,871,99.93
GEN,872,99.93
GEN,873,99.93
GEN,874,99.93
GEN,875,99.93
GEN,876,99.93
GEN,877,99.93
GEN,878,99.93
GEN,879,99.93
GEN,880,99.93
GEN,881,99.93
GEN,882,99.93
GEN,883,99.93
GEN,884,99.93
GEN,885,99.93
GEN,886,99.93
GEN,887,99.93
GEN,888,99.93
GEN,889,99.93
GEN,890,99.93
GEN,891,99.93
GEN,892,99.93
GEN,893,99.93
GEN,894,99.93
GEN,895,99.93
GEN,896,99.93
GEN,897,99.93
GEN,898,99.93
GEN,899,99.93
GEN,900,99.93
GEN,901,99.93
GEN,902,99.93
GEN,903,99.93
GEN,904,99.93
GEN,905,99.93
GEN,906,99.93
GEN,907,99.93
GEN,908,99.93
GEN,909,99.93
GEN,910,99.93
GEN,911,99.93
GEN,912,99.93
GEN,913,99.93
GEN,914,99.93
GEN,915,99.93
GEN,916,99.93
GEN,917,99.93
GEN,918,99.93
GEN,919,99.93
GEN,920,99.93
GEN,921,99.93
GEN,922,99.93
GEN,923,99.93
GEN,924,99.93
GEN,925,99.93
GEN,926,99.93
GEN,927,99.93
GEN,928,99.93
GEN,929,99.93
GEN,930,99.93
GEN,931,99.93
GEN,932,99.93
GEN,933,99.93
GEN,934,99.93
GEN,935,99.93
GEN,936,99.93
GEN,937,99.93
GEN,938,99.93
GEN,939,99.93
GEN,940,99.93
GEN,941,99.93
GEN,942,99.93
GEN,943,99.93
GEN,944,99.93
GEN,945,99.93
GEN,946,99.93
GEN,947,99.93
GEN,948,99.93
GEN,949,99.93
GEN,950,99.93
GEN,951,99.93
GEN,952,99.93
GEN,953,99.93
GEN,954,99.93
GEN,955,99.93
GEN,956,99.93
GEN,957,99.93
GEN,958,99.93
GEN,959,99.93
GEN,960,99.93
GEN,961,99.93
GEN,962,99.93
GEN,963,99.93
GEN,964,99.93
GEN,965,99.93
GEN,966,99.93
GEN,967,99.93
GEN,968,99.93
GEN,969,99.93
GEN,970,99.93
GEN,971,99.93
GEN,972,99.93
GEN,973,99.93
GEN,974,99.93
GEN,975,99.93
GEN,976,99.93
GEN,977,99.93
GEN,978,99.93
GEN,979,99.93
GEN,980,99.93
GEN,981,99.93
GEN,982,99.93
GEN,983,99.93
GEN,984,99.93
GEN,985,99.93
GEN,986,99.93
GEN,987,99.93
GEN,988,99.93
GEN,989,99.93
GEN,990,99.93
GEN,991,99.93
GEN,992,99.93
GEN,989,99.92
GEN,990,99.92
GEN,991,99.92
GEN,992,99.92
GEN,993,99.92
GEN,994,99.92
GEN,995,99.92
GEN,996,99.92
GEN,997,99.92
GEN,998,99.92
GEN,999,99.92
GEN,1000,99.92
GEN,1001,99.92
GEN,1002,99.92
GEN,1003,99.92
GEN,1004,99.92
GEN,1005,99.92
GEN,1006,99.92
GEN,1007,99.92
GEN,1008,99.92
GEN,1009,99.92
GEN,1010,99.92
GEN,1011,99.92
GEN,1012,99.92
GEN,1013,99.92
GEN,1014,99.92
GEN,1015,99.92
GEN,1016,99.92
GEN,1017,99.92
GEN,1018,99.92
GEN,1019,99.92
GEN,1020,99.92
GEN,1021,99.92
GEN,1022,99.92
GEN,1023,99.92
GEN,1024,99.92
GEN,1025,99.92
GEN,1026,99.92
GEN,1027,99.92
GEN,1028,99.92
GEN,1029,99.92
GEN,1030,99.92
GEN,1031,99.92
GEN,1032,99.92
GEN,1033,99.92
GEN,1034,99.92
GEN,1035,99.92
GEN,1036,99.92
GEN,1037,99.92
GEN,1038,99.92
GEN,1039,99.92
GEN,1040,99.92
GEN,1041,99.92
GEN,1042,99.92
GEN,1043,99.92
GEN,1044,99.92
GEN,1045,99.92
GEN,1046,99.92
GEN,1047,99.92
GEN,1048,99.92
GEN,1049,99.92
GEN,1050,99.92
GEN,1051,99.92
GEN,1052,99.92
GEN,1053,99.92
GEN,1054,99.92
GEN,1055,99.92
GEN,1056,99.92
GEN,1057,99.92
GEN,1058,99.92
GEN,1059,99.92
GEN,1060,99.92
GEN,1061,99.92
GEN,1062,99.92
GEN,1063,99.92
GEN,1064,99.92
GEN,1065,99.92
GEN,1066,99.92
GEN,1067,99.92
GEN,1068,99.92
GEN,1069,99.92
GEN,1070,99.92
GEN,1071,99.92
GEN,1072,99.92
GEN,1073,99.92
GEN,1074,99.92
GEN,1075,99.92
GEN,1076,99.92
GEN,1077,99.92
GEN,1078,99.92
GEN,1079,99.92
GEN,1080,99.92
GEN,1081,99.92
GEN,1082,99.92
GEN,1083,99.92
GEN,1084,99.92
GEN,1085,99.92
GEN,1086,99.92
GEN,1087,99.92
GEN,1088,99.92
GEN,1089,99.92
GEN,1090,99.92
GEN,1091,99.92
GEN,1092,99.92
GEN,1093,99.92
GEN,1094,99.92
GEN,1095,99.92
GEN,1096,99.92
GEN,1097,99.92
GEN,1098,99.92
GEN,1099,99.92
GEN,1100,99.92
GEN,1101,99.92
GEN,1102,99.92
GEN,1103,99.92
GEN,1104,99.92
GEN,1105,99.92
GEN,1106,99.92
GEN,1107,99.92
GEN,1108,99.92
GEN,1086,99.91
GEN,1087,99.91
GEN,1088,99.91
GEN,1089,99.91
GEN,1090,99.91
GEN,1091,99.91
GEN,1092,99.91
GEN,1093,99.91
GEN,1094,99.91
GEN,1095,99.91
GEN,1096,99.91
GEN,1097,99.91
GEN,1098,99.91
GEN,1099,99.91
GEN,1100,99.91
GEN,1101,99.91
GEN,1102,99.91
GEN,1103,99.91
GEN,1104,99.91
GEN,1105,99.91
GEN,1106,99.91
GEN,1107,99.91
GEN,1108,99.91
GEN,1109,99.91
GEN,1110,99.91
GEN,1111,99.91
GEN,1112,99.91
GEN,1113,99.91
GEN,1114,99.91
GEN,1115,99.91
GEN,1116,99.91
GEN,1117,99.91
GEN,1118,99.91
GEN,1119,99.91
GEN,1120,99.91
GEN,1121,99.91
GEN,1122,99.91
GEN,1123,99.91
GEN,1124,99.91
GEN,1125,99.91
GEN,1126,99.91
GEN,1127,99.91
GEN,1128,99.91
GEN,1129,99.91
GEN,1130,99.91
GEN,1131,99.91
GEN,1132,99.91
GEN,1133,99.91
GEN,1134,99.91
GEN,1135,99.91
GEN,1136,99.91
GEN,1137,99.91
GEN,1138,99.91
GEN,1139,99.91
GEN,1140,99.91
GEN,1141,99.91
GEN,1142,99.91
GEN,1143,99.91
GEN,1144,99.91
GEN,1145,99.91
GEN,1146,99.91
GEN,1147,99.91
GEN,1148,99.91
GEN,1149,99.91
GEN,1150,99.91
GEN,1151,99.91
GEN,1152,99.91
GEN,1153,99.91
GEN,1154,99.91
GEN,1155,99.91
GEN,1156,99.91
GEN,1157,99.91
GEN,1158,99.91
GEN,1159,99.91
GEN,1160,99.91
GEN,1161,99.91
GEN,1162,99.91
GEN,1163,99.91
GEN,1164,99.91
GEN,1165,99.91
GEN,1166,99.91
GEN,1167,99.91
GEN,1168,99.91
GEN,1169,99.91
GEN,1170,99.91
GEN,1171,99.91
GEN,1172,99.91
GEN,1173,99.91
GEN,1174,99.91
GEN,1175,99.91
GEN,1176,99.91
GEN,1177,99.91
GEN,1178,99.91
GEN,1179,99.91
GEN,1180,99.91
GEN,1181,99.91
GEN,1182,99.91
GEN,1193,99.9
GEN,1194,99.9
GEN,1195,99.9
GEN,1196,99.9
GEN,1197,99.9
GEN,1198,99.9
GEN,1199,99.9
GEN,1200,99.9
GEN,1201,99.9
GEN,1202,99.9
GEN,1203,99.9
GEN,1204,99.9
GEN,1205,99.9
GEN,1206,99.9
GEN,1207,99.9
GEN,1208,99.9
GEN,1209,99.9
GEN,1210,99.9
GEN,1211,99.9
GEN,1212,99.9
GEN,1213,99.9
GEN,1214,99.9
GEN,1215,99.9
GEN,1216,99.9
GEN,1217,99.9
GEN,1218,99.9
GEN,1219,99.9
GEN,1220,99.9
GEN,1221,99.9
GEN,1222,99.9
GEN,1223,99.9
GEN,1224,99.9
GEN,1225,99.9
GEN,1226,99.9
GEN,1227,99.9
GEN,1228,99.9
GEN,1229,99.9
GEN,1230,99.9
GEN,1231,99.9
GEN,1232,99.9
GEN,1233,99.9
GEN,1234,99.9
GEN,1235,99.9
GEN,1236,99.9
GEN,1237,99.9
GEN,1238,99.9
GEN,1239,99.9
GEN,1240,99.9
GEN,1241,99.9
GEN,1242,99.9
GEN,1243,99.9
GEN,1244,99.9
GEN,1245,99.9
GEN,1246,99.9
GEN,1247,99.9
GEN,1248,99.9
GEN,1249,99.9
GEN,1250,99.9
GEN,1251,99.9
GEN,1252,99.9
GEN,1253,99.9
GEN,1254,99.9
GEN,1255,99.9
GEN,1256,99.9
GEN,1257,99.9
GEN,1258,99.9
GEN,1259,99.9
GEN,1260,99.9
GEN,1261,99.9
GEN,1262,99.9
GEN,1263,99.9
GEN,1264,99.9
GEN,1265,99.9
GEN,1266,99.9
GEN,1267,99.9
GEN,1268,99.9
GEN,1269,99.9
GEN,1270,99.9
GEN,1271,99.9
GEN,1272,99.9
GEN,1273,99.9
GEN,1274,99.9
GEN,1275,99.9
GEN,1276,99.9
GEN,1277,99.9
GEN,1278,99.9
GEN,1279,99.9
GEN,1280,99.9
GEN,1281,99.9
GEN,1282,99.9
GEN,1283,99.9
GEN,1284,99.9
GEN,1285,99.9
GEN,1286,99.9
GEN,1287,99.9
GEN,1288,99.9
GEN,1289,99.9
GEN,1290,99.9
GEN,1291,99.9
GEN,1292,99.9
GEN,1293,99.9
GEN,1294,99.9
GEN,1295,99.9
GEN,1296,99.9
GEN,1297,99.9
GEN,1298,99.9
GEN,1299,99.9
GEN,1308,99.89
GEN,1309,99.89
GEN,1310,99.89
GEN,1311,99.89
GEN,1312,99.89
GEN,1313,99.89
GEN,1314,99.89
GEN,1315,99.89
GEN,1316,99.89
GEN,1317,99.89
GEN,1318,99.89
GEN,1319,99.89
GEN,1320,99.89
GEN,1321,99.89
GEN,1322,99.89
GEN,1323,99.89
GEN,1324,99.89
GEN,1325,99.89
GEN,1326,99.89
GEN,1327,99.89
GEN,1328,99.89
GEN,1329,99.89
GEN,1330,99.89
GEN,1331,99.89
GEN,1332,99.89
GEN,1333,99.89
GEN,1334,99.89
GEN,1335,99.89
GEN,1336,99.89
GEN,1337,99.89
GEN,1338,99.89
GEN,1339,99.89
GEN,1340,99.89
GEN,1341,99.89
GEN,1342,99.89
GEN,1343,99.89
GEN,1344,99.89
GEN,1345,99.89
GEN,1346,99.89
GEN,1347,99.89
GEN,1348,99.89
GEN,1349,99.89
GEN,1350,99.89
GEN,1351,99.89
GEN,1352,99.89
GEN,1353,99.89
GEN,1354,99.89
GEN,1355,99.89
GEN,1356,99.89
GEN,1357,99.89
